@relation 2019-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.instance.RemoveMisclassified-Wweka.classifiers.rules.ZeroR-C-1-F0-T0.1-I0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute 'Overall rank' numeric
@attribute 'Country or region' {Finland,Denmark,Norway,Iceland,Netherlands,Switzerland,Sweden,'New Zealand',Canada,Austria,Australia,'Costa Rica',Israel,Luxembourg,'United Kingdom',Ireland,Germany,Belgium,'United States','Czech Republic','United Arab Emirates',Malta,Mexico,France,Taiwan,Chile,Guatemala,'Saudi Arabia',Qatar,Spain,Panama,Brazil,Uruguay,Singapore,'El Salvador',Italy,Bahrain,Slovakia,'Trinidad & Tobago',Poland,Uzbekistan,Lithuania,Colombia,Slovenia,Nicaragua,Kosovo,Argentina,Romania,Cyprus,Ecuador,Kuwait,Thailand,Latvia,'South Korea',Estonia,Jamaica,Mauritius,Japan,Honduras,Kazakhstan,Bolivia,Hungary,Paraguay,'Northern Cyprus',Peru,Portugal,Pakistan,Russia,Philippines,Serbia,Moldova,Libya,Montenegro,Tajikistan,Croatia,'Hong Kong','Dominican Republic','Bosnia and Herzegovina',Turkey,Malaysia,Belarus,Greece,Mongolia,'North Macedonia',Nigeria,Kyrgyzstan,Turkmenistan,Algeria,Morocco,Azerbaijan,Lebanon,Indonesia,China,Vietnam,Bhutan,Cameroon,Bulgaria,Ghana,'Ivory Coast',Nepal,Jordan,Benin,'Congo (Brazzaville)',Gabon,Laos,'South Africa',Albania,Venezuela,Cambodia,'Palestinian Territories',Senegal,Somalia,Namibia,Niger,'Burkina Faso',Armenia,Iran,Guinea,Georgia,Gambia,Kenya,Mauritania,Mozambique,Tunisia,Bangladesh,Iraq,'Congo (Kinshasa)',Mali,'Sierra Leone','Sri Lanka',Myanmar,Chad,Ukraine,Ethiopia,Swaziland,Uganda,Egypt,Zambia,Togo,India,Liberia,Comoros,Madagascar,Lesotho,Burundi,Zimbabwe,Haiti,Botswana,Syria,Malawi,Yemen,Rwanda,Tanzania,Afghanistan,'Central African Republic','South Sudan'}
@attribute Score numeric
@attribute 'GDP per capita' numeric
@attribute 'Social support' numeric
@attribute 'Healthy life expectancy' numeric
@attribute 'Freedom to make life choices' numeric
@attribute Generosity numeric
@attribute 'Perceptions of corruption' numeric

@data
0,Iceland,1,0.816647,1,0.943015,0.970443,0.625442,0.118
0.052632,'Costa Rica',0.929541,0.607961,0.887315,0.88511,0.916256,0.254417,0.093
0.059211,Israel,0.923508,0.75392,0.895936,0.945772,0.609195,0.461131,0.082
0.098684,'United States',0.870287,0.848613,0.897167,0.803309,0.745484,0.4947,0.128
0.105263,'Czech Republic',0.861668,0.749698,0.91564,0.845588,0.750411,0.081272,0.036
0.111842,'United Arab Emirates',0.85585,0.890832,0.80665,0.758272,0.981938,0.462898,0.182
0.118421,Malta,0.834518,0.768396,0.935961,0.918199,0.926108,0.662544,0.151
0.125,Mexico,0.806292,0.629674,0.814655,0.79136,0.711002,0.130742,0.073
0.131579,France,0.805645,0.782871,0.906404,0.960478,0.715928,0.196113,0.183
0.138158,Taiwan,0.774187,0.809409,0.880542,0.840074,0.576355,0.427562,0.097
0.144737,Chile,0.773756,0.683353,0.84298,0.845588,0.586207,0.330389,0.056
0.151316,Guatemala,0.772032,0.466828,0.781404,0.685662,0.878489,0.309187,0.078
0.157895,'Saudi Arabia',0.758888,0.830519,0.835591,0.730699,0.720854,0.141343,0.132
0.164474,Qatar,0.758673,1,0.808498,0.800551,0.91133,0.388693,0.167
0.171053,Spain,0.754363,0.759952,0.913793,0.976103,0.594417,0.270318,0.079
0.177632,Panama,0.747253,0.677322,0.887931,0.836397,0.847291,0.19258,0.054
0.184211,Brazil,0.742728,0.589867,0.886084,0.737132,0.640394,0.174912,0.086
0.190789,Uruguay,0.74122,0.662244,0.902094,0.818934,0.858785,0.224382,0.15
0.203947,'El Salvador',0.732601,0.463209,0.764778,0.725184,0.706076,0.164311,0.074
0.210526,Italy,0.726137,0.764777,0.916256,0.954963,0.37931,0.279152,0.03
0.217105,Bahrain,0.720965,0.80579,0.842365,0.800551,0.880131,0.45053,0.11
0.223684,Slovakia,0.72075,0.735826,0.926108,0.809743,0.54844,0.213781,0.014
0.230263,'Trinidad & Tobago',0.719457,0.726779,0.909483,0.655331,0.802956,0.326855,0.016
0.236842,Poland,0.717302,0.711701,0.885468,0.8125,0.793103,0.206714,0.05
0.25,Lithuania,0.710192,0.731001,0.932882,0.751838,0.477833,0.075972,0.042
0.256579,Colombia,0.70502,0.578408,0.868227,0.772978,0.771757,0.174912,0.034
